City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,quatre cocos,-20.2078,57.7625,23.94,80,61,3.19,MU,1680920364
290,praya,14.9215,-23.5087,22.3,73,40,5.66,CV,1680920364
291,aklavik,68.2191,-135.0107,-13.2,90,100,3.51,CA,1680920365
292,lavrentiya,65.5833,-171.0,-19.27,71,93,2.85,RU,1680920365
293,athmallik,20.7219,84.5348,30.52,44,8,0.77,IN,1680920365
294,chapais,49.7834,-74.8492,-10.12,86,95,4.69,CA,1680920365
295,solnechnyy,50.7214,136.6319,-0.63,70,100,3.34,RU,1680920365
296,obidos,-1.9175,-55.5181,23.11,92,94,1.23,BR,1680920365
297,namibe,-15.1961,12.1522,23.86,78,94,2.99,AO,1680920365
298,buala,-8.145,159.5921,29.77,69,97,2.88,SB,1680920366
299,hervey bay,-25.2986,152.8535,28.37,46,0,4.34,AU,1680920366
300,aksarka,66.5606,67.7975,-3.11,94,94,7.48,RU,1680920366
301,nuuk,64.1835,-51.7216,-1.66,86,75,6.69,GL,1680920366
302,kyra,49.5776,111.9753,8.55,28,1,2.43,RU,1680920366
303,hualmay,-11.0964,-77.6139,25.44,76,99,3.35,PE,1680920366
304,boddam,57.4667,-1.7833,7.21,90,100,7.71,GB,1680920367
305,tulsipur,28.131,82.2973,23.5,24,11,1.62,NP,1680920367
306,pevek,69.7008,170.3133,-23.26,91,84,0.43,RU,1680920367
307,camargo,27.6667,-105.1667,21.38,22,0,3.31,MX,1680920367
308,kamensk-shakhtinskiy,48.3178,40.2595,9.3,79,95,4.34,RU,1680920367
309,calabozo,8.9242,-67.4293,32.48,32,100,2.39,VE,1680920068
310,abnub,27.2696,31.1511,20.12,13,0,2.29,EG,1680920368
311,port moresby,-9.4431,147.1797,27.77,77,100,5.03,PG,1680920368
312,lorengau,-2.0226,147.2712,28.6,71,100,4.66,PG,1680920368
313,saskylakh,71.9167,114.0833,-20.01,93,99,5.49,RU,1680920307
314,ladario,-19.0047,-57.6017,21.42,95,100,1.24,BR,1680920368
315,san-pedro,4.7485,-6.6363,25.48,90,54,2.51,CI,1680920369
316,jalu,29.0331,21.5482,18.29,44,100,5.7,LY,1680920369
317,opunake,-39.4556,173.8583,18.25,59,78,9.19,NZ,1680920369
318,roma,43.2128,-75.4557,1.09,69,0,2.06,US,1680920369
319,port-gentil,-0.7193,8.7815,27.56,82,100,4.58,GA,1680920369
320,port hardy,50.6996,-127.4199,8.0,76,100,3.6,CA,1680920130
321,constantine,36.365,6.6147,5.67,81,0,1.03,DZ,1680920369
322,clarence town,-32.5833,151.7833,24.36,47,1,7.25,AU,1680920369
323,inverell,-29.7833,151.1167,21.48,52,0,4.02,AU,1680920370
324,dingle,10.9995,122.6711,29.9,62,40,4.99,PH,1680920370
325,qaqortoq,60.7167,-46.0333,-1.68,91,100,3.5,GL,1680920370
326,lompoc,34.6391,-120.4579,16.55,75,75,4.12,US,1680920370
327,hoquiam,46.9809,-123.8893,9.44,80,100,2.81,US,1680920351
328,new baclayon,6.5842,125.3694,28.89,68,99,1.55,PH,1680920370
329,amga,60.8953,131.9608,-4.75,80,100,4.91,RU,1680920371
330,yar-sale,66.8333,70.8333,-10.78,92,100,6.67,RU,1680920371
331,panukulan,14.9333,121.8144,27.32,74,23,7.04,PH,1680920371
332,gimbi,9.1667,35.8333,15.63,70,98,1.34,ET,1680920371
333,sorong,-0.8833,131.25,27.78,76,63,2.34,ID,1680920371
334,chicama,-7.8447,-79.1469,26.3,73,100,1.71,PE,1680920371
335,staroye drozhzhanoye,54.7266,47.5677,0.16,73,3,2.96,RU,1680920371
336,fuengirola,36.54,-4.6247,13.25,76,20,3.6,ES,1680920372
337,lamu,-2.2717,40.902,27.12,76,16,4.27,KE,1680920372
338,nabire,-3.3667,135.4833,27.29,78,100,0.54,ID,1680920372
339,bilibino,68.0546,166.4372,-13.3,65,6,0.67,RU,1680920338
340,suslonger,56.3156,48.2531,-1.07,71,0,2.21,RU,1680920372
341,tasiilaq,65.6145,-37.6368,0.09,92,97,11.78,GL,1680920372
342,namatanai,-3.6667,152.4333,28.66,73,100,1.37,PG,1680920373
343,fort nelson,58.8053,-122.7002,12.77,24,40,5.66,CA,1680920373
344,nemuro,43.3236,145.575,2.4,96,100,2.94,JP,1680920373
345,mongo,12.1844,18.693,30.51,11,49,2.04,TD,1680920373
346,shahreza,32.0339,51.8794,11.18,39,6,1.97,IR,1680920374
347,fuzhou,26.0614,119.3061,16.69,73,80,2.07,CN,1680919966
348,krasnoselkup,65.7,82.4667,-10.62,94,100,6.46,RU,1680920374
349,saint-leu,-21.15,55.2833,23.48,91,51,3.25,RE,1680920374
350,wanaka,-44.7,169.15,13.39,61,27,1.34,NZ,1680920109
351,bathsheba,13.2167,-59.5167,26.34,69,20,9.26,BB,1680920374
